=== day6razor.txt ===
Total yeses = 7283
Group (1): gqraplu:jmwftidynvozkhe => 0
Group (3): cbhejsplztndvig:duzpteclshfgbinvj:zvbhdtnigplsej:ztsbdixmegljhnvapy => 14
Group (3): syrulqjamnixpwz:yrjinauqxlz:yrazqnujxli:zlnorxjiayqhu => 11
Group (2): n:gn:n => 1
Group (2): yx:oxh:fx => 1
Group (3): joewxkpzyvldqfricsn:xqfsnyevltrmcdpiwz:pvyxdlnzcqwrseif:cagnvpqwfbzxuyreidl => 15
Group (1): lqbpai:quplimxcojkrt => 4
Group (4): sziyc:lsvkuhei:kctsidr:xkmousi:sbjnqgafwi => 2
Group (4): ur:nu:u:u:u => 1
Group (1): kgehjantorqdumzfwpivlb:dvziasuthgmplfwnrqok => 19
Group (1): ejo:zs => 0
Group (4): fgbmsua:gimuqbfv:lfzugbm:uvbfmgp:iagmbpfhu => 5
Group (3): bqntdexkfvpwl:evjblkfxcduyn:trmxfbvklynz:svginkxflabh => 7
Group (4): gdtafy:dtygafo:dagfyt:ydaftg:gdatyf => 6
Group (4): ygwkouhpmqseb:plokghuzxwybeam:hncokugxmbpsye:ogfkejuvbmyhp:hmpnlcregoukqysb => 10
Group (4): qgm:xhgjcpmt:elswfzdgvnoyiu:mgx:kagbr => 1
Group (1): jxiaofcy:vrtpbkhles => 0
Group (4): d:d:d:n:d => 0
Group (3): yidoljquknxpeaz:jxevznrpdlkqsiumao:opilqzajdxnemukr:hewjdganufopkizxlqb => 14
Group (1): prwydlbnkhgoqvsxmafeuj:hwegbjqxrlmfpvysnakduo => 22
Group (1): ntdzifwmhxkcpg:gmciznhtu => 8
Group (3): bvrcmgo:gvbrcom:movrbgc:vrmobgc => 7
Group (4): uq:qeu:yequ:qpbumck:nqu => 2
Group (2): m:wlgkmze:m => 1
Group (3): ytazsmxvhpw:wphytzvax:zaxwyfthvpc:aphzswtxvyok => 9
Group (1): xmd:xmd => 3
Group (3): q:u:u:y => 0
Group (1): nrwzuibkxy:yjekmus => 3
Group (4): iah:liah:hapimu:auhi:whtia => 3
Group (3): waxngytpedkcohu:nicsaypkvztwujleofxrh:qhopntywekxabuc:cpawenqyokthxu => 13
Group (3): ztpgmojkuasni:tkgipajonszum:snzpkiaugmojt:uzniostakjpgm => 13
Group (2): uvlxwrgyb:unywtravxlg:frglqxuiwy => 7
Group (2): hnybo:nhyo:onhy => 4
Group (1): qbiayve:tbmrhxc => 1
Group (2): ifgubhacvkwndempsqyto:oeikgsmwvathyfqupzdnrb:aopbwqgtxfeikhvsdnumy => 20
Group (2): sdcoulxfwkyh:ylshkufxod:kdptsfuohvxly => 10
Group (3): lpinkvcmbjgfzstoyr:yonrjzpktmfbisc:ifkzmcopsrybtjn:zscptibfykromjn => 15
Group (3): djfzwn:lsvbyqth:cfxed:dnzgw => 0
Group (1): ukbx:bh => 1
Group (1): mrxewvdultgp:pkwvlgjtmxid => 9
Group (3): pax:xa:rjlxa:axp => 2
Group (4): blpq:uyfaqwbpls:lnbqp:qplbzn:bnqpl => 4
Group (1): viezwmdhxnbpcuq:snwlzhdycvbikqpu => 12
Group (3): xjoarpudhzcqvbklsf:puqhzfxcraobkvsdl:svalkqorzuhxndcpfb:zqhkvusbcoalprfdx => 17
Group (4): qrav:qrav:avqr:avqr:vqar => 4
Group (3): mgizycqbaksjofwtdphn:qshodcwfbygpmtikjna:gbhdawmjyofsqtnckpi:mgufwjpithybodqscnak => 19
Group (3): drkwnmigxc:xndwkrmi:kdxranwim:krxdwiynm => 8
Group (4): nzvgidp:dzvpig:vzgdp:vpgdzh:pvzgd => 5
Group (4): owzvyrsqlaefxut:afslqrywvueoztx:wzxqartvuioyelsf:evqlwzxustarfyo:zetoqsulxyfvawr => 15
Group (2): rvydefukzonxmshw:yhxenwmdvsfz:hnzwxivsmdfbey => 12
Group (4): hzqkpmrgeldniwo:nelihzrkpwmgdoq:zhdixrmpownegqbkl:lpjkgzhnurwymodesiq:hrgevlonqmbcdzikwp => 15
Group (3): zmxskldyfobp:efwzjdyok:zyihvutofadk:dokzeryfgc => 6
Group (4): inbs:bsni:snib:sbni:inkbs => 4
Group (4): kuhimvsfetnobjayzrxpclq:mpyqbtfncerkujzlivaxhos:khxmojcyuvpqrbitlafzesn:yjckvrfontsphzabmleuixq:lhpjmaefbnkyciuortsqxzv => 23
Group (4): zrlyvkgwsinbteaxcuqdmf:sqnagelwkbydrxtmufcizv:dicxqvlgoenabwrtkufsymz:exvqrkmulnsayzbwdcfgti:vkgulsxywafinecrbtzdmq => 22
Group (4): whpx:hwpxtme:nwrvhpx:hpwx:rwxhp => 4
Group (3): q:vz:q:x => 0
Group (1): wyaum:ouzj => 1
Group (2): nrqsahcif:bnia:nzia => 3
Group (2): neditjrwlm:ncovfirzdl:qrhabpxkus => 1
Group (3): ypbtzriv:dsgj:bfk:nq => 0
Group (1): xuegjwzf:xbjonevumgf => 6
Group (2): stxl:tsl:lstyf => 3
Group (3): vcpja:pjacv:cvajp:jyacpv => 5
Group (3): hurbisxv:vrusibhwx:khxiqsbturgl:szbahofeinjurx => 7
Group (1): cdgbs:smpb => 2
Group (2): nxapgmhuise:hlgafojqykxpwuv:rbhigaceuxmp => 6
Group (4): ia:ia:ia:ia:ai => 2
